hogar,cluster,estrategia,algoritmo,hour,0,1,2,3,4
,,dia_domingo,Agglomerative_k5_profile,20,0.1890923076923077,0.4542083333333333,0.4687836538461538,0.3666730769230769,0.5773269230769231
,,dia_domingo,Agglomerative_k5_profile,21,0.1835999999999999,0.3509583333333333,0.4513846153846154,0.5603076923076923,0.5145192307692308
,,dia_domingo,Agglomerative_k5_profile,22,0.1594615384615385,0.2225448717948717,0.3613173076923077,0.4545384615384615,0.4049230769230769
,,dia_domingo,Agglomerative_k5_profile,23,0.1405038461538461,0.1408717948717948,0.2521057692307692,0.5144038461538462,0.3112692307692307
,,dia_domingo,Agglomerative_k5_profile,total_mean_consumption,3.4642706266541445,5.341607665272204,7.798998644668318,7.910846224992172,11.207199245140696
ABLD,0.0,dia_domingo,GMM_k2,,,,,,
AJVG,0.0,dia_domingo,GMM_k2,,,,,,
ATF,0.0,dia_domingo,GMM_k2,,,,,,
FJAG,1.0,dia_domingo,GMM_k2,,,,,,
FMB,0.0,dia_domingo,GMM_k2,,,,,,
GPC,0.0,dia_domingo,GMM_k2,,,,,,
JACL,0.0,dia_domingo,GMM_k2,,,,,,
JALG,0.0,dia_domingo,GMM_k2,,,,,,
JLG,0.0,dia_domingo,GMM_k2,,,,,,
JMM,0.0,dia_domingo,GMM_k2,,,,,,
LFZA,0.0,dia_domingo,GMM_k2,,,,,,
MANA,1.0,dia_domingo,GMM_k2,,,,,,
MBGV,0.0,dia_domingo,GMM_k2,,,,,,
MTTA,1.0,dia_domingo,GMM_k2,,,,,,
PAA,1.0,dia_domingo,GMM_k2,,,,,,
RFM,0.0,dia_domingo,GMM_k2,,,,,,
RTF,0.0,dia_domingo,GMM_k2,,,,,,
,,dia_domingo,GMM_k2_profile,0,0.1324479638009049,0.2634019607843137,,,
,,dia_domingo,GMM_k2_profile,1,0.1095458579881656,0.2398701923076923,,,
,,dia_domingo,GMM_k2_profile,2,0.0996908563134978,0.1902783018867924,,,
,,dia_domingo,GMM_k2_profile,3,0.0953565088757396,0.1650721153846154,,,
,,dia_domingo,GMM_k2_profile,4,0.0906553254437869,0.1367596153846154,,,
,,dia_domingo,GMM_k2_profile,5,0.0909378698224852,0.1286634615384615,,,
,,dia_domingo,GMM_k2_profile,6,0.1029556213017751,0.1358125,,,
,,dia_domingo,GMM_k2_profile,7,0.1322958579881656,0.1780576923076923,,,
,,dia_domingo,GMM_k2_profile,8,0.1859275147928994,0.2316740384615379,,,
,,dia_domingo,GMM_k2_profile,9,0.2279985207100591,0.3593572115384608,,,
,,dia_domingo,GMM_k2_profile,10,0.2556494082840237,0.4654918269230761,,,
,,dia_domingo,GMM_k2_profile,11,0.2467144970414201,0.5308432692307683,,,
,,dia_domingo,GMM_k2_profile,12,0.2768905325443787,0.5306605769230759,,,
,,dia_domingo,GMM_k2_profile,13,0.3410695266272189,0.5519586538461528,,,
,,dia_domingo,GMM_k2_profile,14,0.2914349112426035,0.5266360576923069,,,
,,dia_domingo,GMM_k2_profile,15,0.2352159763313609,0.4850201923076918,,,
,,dia_domingo,GMM_k2_profile,16,0.2213372781065088,0.4351211538461533,,,
,,dia_domingo,GMM_k2_profile,17,0.2197943786982248,0.4994567307692308,,,
,,dia_domingo,GMM_k2_profile,18,0.2499112426035503,0.5494567307692308,,,
,,dia_domingo,GMM_k2_profile,19,0.3097633136094674,0.5387115384615384,,,
,,dia_domingo,GMM_k2_profile,20,0.3522263313609467,0.4777259615384616,,,
,,dia_domingo,GMM_k2_profile,21,0.2943639053254437,0.5193461538461539,,,
,,dia_domingo,GMM_k2_profile,22,0.2097440828402367,0.4276586538461538,,,
,,dia_domingo,GMM_k2_profile,23,0.1527248520710059,0.3491057692307692,,,
,,dia_domingo,GMM_k2_profile,total_mean_consumption,4.924652133723869,8.916140358824945,,,
ABLD,0.0,dia_domingo,GMM_k3,,,,,,
AJVG,1.0,dia_domingo,GMM_k3,,,,,,
ATF,0.0,dia_domingo,GMM_k3,,,,,,
FJAG,1.0,dia_domingo,GMM_k3,,,,,,
FMB,0.0,dia_domingo,GMM_k3,,,,,,
GPC,0.0,dia_domingo,GMM_k3,,,,,,
JACL,0.0,dia_domingo,GMM_k3,,,,,,
JALG,1.0,dia_domingo,GMM_k3,,,,,,
JLG,0.0,dia_domingo,GMM_k3,,,,,,
JMM,1.0,dia_domingo,GMM_k3,,,,,,
LFZA,0.0,dia_domingo,GMM_k3,,,,,,
MANA,1.0,dia_domingo,GMM_k3,,,,,,
MBGV,1.0,dia_domingo,GMM_k3,,,,,,
MTTA,2.0,dia_domingo,GMM_k3,,,,,,
PAA,1.0,dia_domingo,GMM_k3,,,,,,
