hogar,cluster,estrategia,algoritmo,Unnamed: 0,0,1,2
JLG,0.0,resumen_consumos_dia_domingo,KMeans_k3,,,,
JMM,2.0,resumen_consumos_dia_domingo,KMeans_k3,,,,
LFZA,0.0,resumen_consumos_dia_domingo,KMeans_k3,,,,
MANA,2.0,resumen_consumos_dia_domingo,KMeans_k3,,,,
MBGV,1.0,resumen_consumos_dia_domingo,KMeans_k3,,,,
MTTA,2.0,resumen_consumos_dia_domingo,KMeans_k3,,,,
PAA,2.0,resumen_consumos_dia_domingo,KMeans_k3,,,,
RFM,0.0,resumen_consumos_dia_domingo,KMeans_k3,,,,
RTF,1.0,resumen_consumos_dia_domingo,KMeans_k3,,,,
,,resumen_consumos_dia_domingo,KMeans_k3_profile,media_consumo,0.1501088408119657,0.2312424679487179,0.3493503872863246
,,resumen_consumos_dia_domingo,KMeans_k3_profile,std_consumo,0.1713914904731659,0.2937545597733138,0.37158143859196
,,resumen_consumos_dia_domingo,KMeans_k3_profile,min_consumo,0.036,0.0392,0.0378499999999912
,,resumen_consumos_dia_domingo,KMeans_k3_profile,max_consumo,1.5738333333333336,2.3944,3.4483333333333337
,,resumen_consumos_dia_domingo,KMeans_k3_profile,percentil_25_consumo,0.0683333333333333,0.07035,0.12325
,,resumen_consumos_dia_domingo,KMeans_k3_profile,percentil_50_consumo,0.1004166666666666,0.1089999999999999,0.21125
,,resumen_consumos_dia_domingo,KMeans_k3_profile,percentil_75_consumo,0.1498333333333333,0.25,0.43825
,,resumen_consumos_dia_domingo,KMeans_k3_profile,promedio_por_dia,0.1501088408119657,0.2312424679487179,0.3493503872863245
,,resumen_consumos_dia_domingo,KMeans_k3_profile,consumo_medio_diario,3.60261217948718,5.549819230769231,8.384409294871789
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Mañana,0.1243669871794871,0.1805038461538461,0.2276678685897433
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Mediodia,0.193309829059829,0.2959852564102564,0.498177884615384
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Tarde,0.1723501602564102,0.2991336538461538,0.4575995192307691
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Noche,0.1706418269230768,0.3139692307692308,0.4099302884615384
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Madrugada,0.0956217367692117,0.1000385020916929,0.1693025547745303
,,resumen_consumos_dia_domingo,KMeans_k3_profile,sum_consumo,187.3358333333333,288.5906,435.9892833333331
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Domingo,0.1501088408119657,0.2312424679487179,0.3493503872863246
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Fin de semana,0.1501088408119657,0.2312424679487179,0.3493503872863246
,,resumen_consumos_dia_domingo,KMeans_k3_profile,s_Mañana,25.868333333333336,37.5448,47.35491666666662
,,resumen_consumos_dia_domingo,KMeans_k3_profile,s_Mediodia,60.312666666666665,92.3474,155.43149999999983
,,resumen_consumos_dia_domingo,KMeans_k3_profile,s_Tarde,35.84883333333334,62.2198,95.1807
,,resumen_consumos_dia_domingo,KMeans_k3_profile,s_Noche,35.493500000000004,65.3056,85.26549999999999
,,resumen_consumos_dia_domingo,KMeans_k3_profile,s_Madrugada,29.8125,31.173,52.75666666666667
,,resumen_consumos_dia_domingo,KMeans_k3_profile,s_Domingo,187.3358333333333,288.5906,435.9892833333331
,,resumen_consumos_dia_domingo,KMeans_k3_profile,s_Fin de semana,187.3358333333333,288.5906,435.9892833333331
,,resumen_consumos_dia_domingo,KMeans_k3_profile,s_invierno,46.21183333333334,89.1138,112.56786666666656
,,resumen_consumos_dia_domingo,KMeans_k3_profile,s_otoño,41.5195,70.501,95.6135
,,resumen_consumos_dia_domingo,KMeans_k3_profile,s_primavera,43.072833333333335,73.1846,105.831
,,resumen_consumos_dia_domingo,KMeans_k3_profile,s_verano,56.531666666666666,55.7912,121.97691666666653
,,resumen_consumos_dia_domingo,KMeans_k3_profile,std_Mañana,0.0548496992504637,0.0750213098448449,0.1080194265038724
,,resumen_consumos_dia_domingo,KMeans_k3_profile,std_Mediodia,0.0749083216941948,0.0829941903998102,0.1287395550402496
,,resumen_consumos_dia_domingo,KMeans_k3_profile,std_Tarde,0.0404083162415443,0.103154890127665,0.0683887199390305
,,resumen_consumos_dia_domingo,KMeans_k3_profile,std_Noche,0.052351577925587,0.1305088894950709,0.0775605437443459
,,resumen_consumos_dia_domingo,KMeans_k3_profile,std_Madrugada,0.0179604045907129,0.0323755994524043,0.0480574995587324
,,resumen_consumos_dia_domingo,KMeans_k3_profile,std_Domingo,0.171391490473166,0.2937545597733137,0.3715814385919602
,,resumen_consumos_dia_domingo,KMeans_k3_profile,std_Fin de semana,0.171391490473166,0.2937545597733137,0.3715814385919602
,,resumen_consumos_dia_domingo,KMeans_k3_profile,std_invierno,0.1461140251162065,0.3662284324962856,0.3634522192842832
,,resumen_consumos_dia_domingo,KMeans_k3_profile,std_otoño,0.1354852948323448,0.2710103095831857,0.3014736153575069
,,resumen_consumos_dia_domingo,KMeans_k3_profile,std_primavera,0.1527894076099379,0.2969247957131851,0.2880499501986812
,,resumen_consumos_dia_domingo,KMeans_k3_profile,std_verano,0.1939512802974155,0.1963143716962765,0.4659601684303268
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Enero,14.859333333333334,27.3174,37.31959999999994
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Febrero,14.283333333333331,28.2348,31.79133333333333
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Marzo,19.011,34.2176,44.06033333333334
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Abril,12.561333333333332,19.7382,32.505500000000005
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Mayo,11.5005,19.2288,29.26516666666667
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Junio,27.745666666666665,27.4046,48.96079999999993
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Julio,14.195833333333333,15.3832,36.9426166666666
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Agosto,14.590166666666669,13.0034,36.0735
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Septiembre,16.096500000000002,23.4264,36.552
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Octubre,11.553166666666668,22.8698,26.96433333333333
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Noviembre,13.869833333333332,24.2048,32.097166666666666
,,resumen_consumos_dia_domingo,KMeans_k3_profile,Diciembre,17.069166666666664,33.5616,43.45693333333329
,,resumen_consumos_dia_domingo,KMeans_k3_profile,total_mean_consumption,1132.2857475485678,1744.506766059964,2634.703568306854
ABLD,1.0,resumen_consumos_dia_jueves,KMeans_k3,,,,
AJVG,1.0,resumen_consumos_dia_jueves,KMeans_k3,,,,
ATF,0.0,resumen_consumos_dia_jueves,KMeans_k3,,,,
FJAG,2.0,resumen_consumos_dia_jueves,KMeans_k3,,,,
FMB,0.0,resumen_consumos_dia_jueves,KMeans_k3,,,,
GPC,0.0,resumen_consumos_dia_jueves,KMeans_k3,,,,
JACL,0.0,resumen_consumos_dia_jueves,KMeans_k3,,,,
JALG,1.0,resumen_consumos_dia_jueves,KMeans_k3,,,,
JLG,0.0,resumen_consumos_dia_jueves,KMeans_k3,,,,
JMM,1.0,resumen_consumos_dia_jueves,KMeans_k3,,,,
LFZA,0.0,resumen_consumos_dia_jueves,KMeans_k3,,,,
MANA,1.0,resumen_consumos_dia_jueves,KMeans_k3,,,,
MBGV,1.0,resumen_consumos_dia_jueves,KMeans_k3,,,,
MTTA,1.0,resumen_consumos_dia_jueves,KMeans_k3,,,,
PAA,1.0,resumen_consumos_dia_jueves,KMeans_k3,,,,
RFM,0.0,resumen_consumos_dia_jueves,KMeans_k3,,,,
RTF,1.0,resumen_consumos_dia_jueves,KMeans_k3,,,,
,,resumen_consumos_dia_jueves,KMeans_k3_profile,media_consumo,0.1566877289377289,0.272076834045584,0.397948637820512
,,resumen_consumos_dia_jueves,KMeans_k3_profile,std_consumo,0.1745655734214113,0.2849885898164274,0.4713169990896373
,,resumen_consumos_dia_jueves,KMeans_k3_profile,min_consumo,0.0254285714285714,0.0506666666666666,0.0530999999999473
,,resumen_consumos_dia_jueves,KMeans_k3_profile,max_consumo,1.468714285714286,2.1826666666666665,4.259
,,resumen_consumos_dia_jueves,KMeans_k3_profile,percentil_25_consumo,0.0667142857142857,0.0985277777777777,0.176
,,resumen_consumos_dia_jueves,KMeans_k3_profile,percentil_50_consumo,0.1045,0.1658333333333333,0.2695
,,resumen_consumos_dia_jueves,KMeans_k3_profile,percentil_75_consumo,0.1665,0.3243611111111111,0.414
,,resumen_consumos_dia_jueves,KMeans_k3_profile,promedio_por_dia,0.1566877289377289,0.2720768340455841,0.397948637820512
,,resumen_consumos_dia_jueves,KMeans_k3_profile,consumo_medio_diario,3.760505494505495,6.5298440170940175,9.550767307692288
,,resumen_consumos_dia_jueves,KMeans_k3_profile,Mañana,0.1356524725274725,0.2620240384615384,0.2856346153846154
,,resumen_consumos_dia_jueves,KMeans_k3_profile,Mediodia,0.1946199633699633,0.3250990028490028,0.4762897435897413
,,resumen_consumos_dia_jueves,KMeans_k3_profile,Tarde,0.1844038461538461,0.3130245726495726,0.7050745192307679
,,resumen_consumos_dia_jueves,KMeans_k3_profile,Noche,0.1788296703296703,0.3635160256410256,0.3890096153846154
,,resumen_consumos_dia_jueves,KMeans_k3_profile,Madrugada,0.099540293040293,0.1374985754985754,0.1956923076923077
,,resumen_consumos_dia_jueves,KMeans_k3_profile,sum_consumo,195.5462857142857,339.5518888888889,496.639899999999
,,resumen_consumos_dia_jueves,KMeans_k3_profile,Jueves,0.1566877289377289,0.272076834045584,0.397948637820512
,,resumen_consumos_dia_jueves,KMeans_k3_profile,Entre semana,0.1566877289377289,0.272076834045584,0.397948637820512
,,resumen_consumos_dia_jueves,KMeans_k3_profile,s_Mañana,28.215714285714284,54.501000000000005,59.412000000000006
,,resumen_consumos_dia_jueves,KMeans_k3_profile,s_Mediodia,60.721428571428575,101.43088888888887,148.60239999999925
,,resumen_consumos_dia_jueves,KMeans_k3_profile,s_Tarde,38.356,65.1091111111111,146.65549999999973
,,resumen_consumos_dia_jueves,KMeans_k3_profile,s_Noche,37.196571428571424,75.61133333333333,80.914
,,resumen_consumos_dia_jueves,KMeans_k3_profile,s_Madrugada,31.05657142857143,42.89955555555556,61.056
,,resumen_consumos_dia_jueves,KMeans_k3_profile,s_Jueves,195.5462857142857,339.5518888888889,496.639899999999
,,resumen_consumos_dia_jueves,KMeans_k3_profile,s_Entre semana,195.5462857142857,339.5518888888889,496.639899999999
,,resumen_consumos_dia_jueves,KMeans_k3_profile,s_invierno,47.06485714285714,93.47733333333332,105.1173999999998
,,resumen_consumos_dia_jueves,KMeans_k3_profile,s_otoño,42.856142857142856,79.3831111111111,91.27169999999964
,,resumen_consumos_dia_jueves,KMeans_k3_profile,s_primavera,43.09442857142857,81.57077777777778,116.826
,,resumen_consumos_dia_jueves,KMeans_k3_profile,s_verano,62.53085714285714,85.12066666666666,183.4247999999996
,,resumen_consumos_dia_jueves,KMeans_k3_profile,std_Mañana,0.0558103336147244,0.0787379880186173,0.0609143075601615
,,resumen_consumos_dia_jueves,KMeans_k3_profile,std_Mediodia,0.0731236031541589,0.0834361755716909,0.2209267329972852
,,resumen_consumos_dia_jueves,KMeans_k3_profile,std_Tarde,0.0409917933507747,0.0887365073842625,0.0543698275448915
,,resumen_consumos_dia_jueves,KMeans_k3_profile,std_Noche,0.0517448667083976,0.0916181929183415,0.105897890168488
,,resumen_consumos_dia_jueves,KMeans_k3_profile,std_Madrugada,0.0217763524291486,0.0467283976910333,0.0217805875756938
,,resumen_consumos_dia_jueves,KMeans_k3_profile,std_Jueves,0.1745655734214113,0.2849885898164273,0.4713169990896374
